wave	branch	historical_head_sha	evidence_kind	evidence_url	deletion_head_verified	note
1	agent/issue-103-member-safe-diagnostics	1dc134e1aba4d11cd98867350413e0d43dda9faa	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/188	no	PR #188 recorded head; merge/closure 2026-09-05T11:21:07Z
1	agent/issue-110-import-persistence-boundary	cf7bed35f2344df44208891c2b8d5f6454fd4a2c	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/207	no	PR #207 recorded head; merge/closure 2026-09-05T14:32:48Z
1	agent/issue-195-gym-train-owner-scope	34a16fb3d7d42fcb28cf2590c8a67d4c689db7a2	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/197	no	PR #197 recorded head; merge/closure 2026-09-05T13:01:22Z
1	agent/issue-64-remote-exec-pty-fixture	3b96fa001f5608eac1e6e36b45cc5ea46b068f3e	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/204	no	PR #204 recorded head; merge/closure 2026-09-05T14:30:54Z
1	agent/issue-73-war-derivation-decomposition	df67ae9d6295e004364c4549492a31799eb907e0	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/196	no	PR #196 recorded head; merge/closure 2026-09-05T12:54:12Z
1	agent/issue-95-security-delete-confirmation	80607dde3274a1b62ce1a8009ba0a7f6aead350a	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/210	no	PR #210 recorded head; merge/closure 2026-09-05T14:34:07Z
1	agent/issue-96-app-shell-navigation	a568f1f8273189ad489611288d65b30ba8673535	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/211	no	PR #211 recorded head; merge/closure 2026-09-05T14:34:33Z
1	agent/issue-98-account-connections	65016bcea590fed42537685a199c92168b66d929	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/206	no	PR #206 recorded head; merge/closure 2026-09-05T14:32:19Z
1	docs/ux-north-star-2026-09-05	e6918c897da1c663de28b24cf87f7b275783e1f3	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/212	no	PR #212 recorded head; merge/closure 2026-09-05T14:34:57Z
1	feat/agent-task-leases	7e817ca8cb1797b713362f6ca9eaff5c407e3bf2	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/127	no	PR #127 recorded head; merge/closure 2026-09-04T18:58:45Z
1	feat/combat-intel-resolution-core	996702dad0d478b1a33c00826375da711b0381fb	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/133	no	PR #133 recorded head; merge/closure 2026-09-04T18:44:43Z
1	feat/m009-consent-record	eb45ad7585fb2a53d3098ca5ef30288e23ce679a	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/129	no	PR #129 recorded head; merge/closure 2026-09-04T19:01:47Z
1	feat/p0-80-stored-member-key	8419fb8cde1e49346947d20e673e37681d3af356	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/164	no	PR #164 recorded head; merge/closure 2026-09-04T23:57:49Z
1	feat/p0-81-combat-intel-persistence	dde13ed7e52f90475414993f4fb956b7c8d21076	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/159	no	PR #159 recorded head; merge/closure 2026-09-04T22:41:52Z
1	feat/p0-81-ffscouter-adapter	1d1e97fe58fbe02c1ca6336119b8aedf560fbb21	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/163	no	PR #163 recorded head; merge/closure 2026-09-04T23:55:04Z
1	feat/p1-69-architecture-test-project	92c0314d0ee0721eec2d241b7df0574677a54d8a	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/165	no	PR #165 recorded head; merge/closure 2026-09-05T00:00:45Z
1	feat/pr-evidence-contract	99f9f4c10de1436369642ef68fb0e1d211e70666	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/120	no	PR #120 recorded head; merge/closure 2026-09-04T18:51:32Z
1	feat/required-evidence-classifier	94ed45a35ce6b36f70faf8afbc01e8612270d07d	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/119	no	PR #119 recorded head; merge/closure 2026-09-04T18:47:56Z
1	fix/combat-intel-common-invariants	dec09a236b26c023be3afdf8b9fa1bd86679bf94	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/139	no	PR #139 recorded head; merge/closure 2026-09-04T20:00:21Z
1	fix/import-tenant-ownership	c749e9ac6209e465fd7aaac9d2037224858e3741	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/149	no	PR #149 recorded head; merge/closure 2026-09-04T20:31:09Z
1	fix/internal-war-notify-boundary	42828f11be6b7a4ced39929673cd4fdeafe9cfc0	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/132	no	PR #132 recorded head; merge/closure 2026-09-04T19:49:45Z
1	fix/local-return-url-policy	a64eb223b4f6afe7e6e40b55b4d0f488ac5d1cd4	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/144	no	PR #144 recorded head; merge/closure 2026-09-04T20:21:12Z
1	fix/p0-131-surfaces-raw-denial	fc266a2c09941373e2c42a54aa89b0a4637706be	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/155	no	PR #155 recorded head; merge/closure 2026-09-04T22:12:08Z
1	fix/remove-weather-demo-route	cd8c2b2f585f257676e58cc9d88f08638559e8ec	github-pr-head	https://github.com/geromet/TornHappyGymStats/pull/141	no	PR #141 recorded head; merge/closure 2026-09-04T20:13:32Z
1	fix/security-local-return-urls	UNKNOWN	unrecovered	https://github.com/geromet/TornHappyGymStats/issues/193	no	No branch-bound full SHA recovered; replacement PR #144 is not evidence of this branch head.
